City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Auka,6,HN,1615717473,96,14.9333,-83.8333,69.12,2.26
Carnarvon,37,AU,1615717473,58,-24.8667,113.6333,89.6,11.5
Vrangel',57,RU,1615717473,61,42.7297,133.0839,41.09,5.23
Hithadhoo,82,MV,1615717474,64,-0.6,73.0833,84.33,8.05
Stornoway,40,GB,1615717474,71,58.2093,-6.3865,46.4,12.66
Korla,97,CN,1615717475,18,41.7597,86.1469,67.24,3.85
Vigrestad,100,NO,1615717475,95,58.5667,5.7,42.01,1.01
Butaritari,95,KI,1615717475,81,3.0707,172.7902,81.18,14.63
Santa Barbara,90,US,1615717475,81,34.7333,-120.0343,48.0,4.61
Robertsport,93,LR,1615717475,76,6.7533,-11.3686,81.12,7.09
Kichera,97,RU,1615717476,77,55.9375,110.0997,10.81,7.58
Kisaran,48,ID,1615717476,63,2.9845,99.6158,85.42,5.82
Kaitangata,58,NZ,1615717477,92,-46.2817,169.8464,59.0,4.0
Yinchuan,25,CN,1615717477,9,38.4681,106.2731,68.72,7.47
Gijang,0,KR,1615717477,62,35.2442,129.2139,55.4,8.05
San Cristobal,97,VE,1615717464,91,7.7669,-72.225,63.82,2.93
Ciudad del Maíz,51,MX,1615717478,95,22.4,-99.6,59.95,1.59
Iqaluit,40,CA,1615717202,63,63.7506,-68.5145,-22.0,11.5
Marrakesh,0,MA,1615717478,56,31.6315,-8.0083,68.0,3.44
Biak,15,ID,1615717478,79,-0.9131,122.8766,79.84,3.18
Vila Velha,0,BR,1615717479,88,-20.3297,-40.2925,72.0,2.3
Nuuk,100,GL,1615717479,73,64.1835,-51.7216,15.8,13.8
Chapais,90,CA,1615717479,85,49.7834,-74.8492,8.6,10.36
Guaíra,43,BR,1615717479,91,-20.3183,-48.3106,69.03,4.34
Grindavik,0,IS,1615717479,69,63.8424,-22.4338,28.4,4.61
Sedona,90,US,1615717480,100,34.8697,-111.761,32.0,0.07
Port Elizabeth,0,ZA,1615717289,69,-33.918,25.5701,75.2,13.8
Mahébourg,75,MU,1615717480,89,-20.4081,57.7,80.6,6.91
Rocha,0,UY,1615717480,86,-34.4833,-54.3333,56.12,2.93
Noumea,0,NC,1615717417,69,-22.2763,166.4572,77.0,3.44
Itaituba,100,BR,1615717481,98,-4.2761,-55.9836,70.57,1.03
Gorno-Altaysk,82,RU,1615717482,83,51.9561,85.955,17.4,4.47
Menongue,7,AO,1615717482,52,-14.6585,17.691,80.96,6.26
Maţāy,91,EG,1615717482,15,28.419,30.7792,79.48,10.65
Kasongo-Lunda,100,CD,1615717483,57,-6.4667,16.8167,89.53,1.34
Srednekolymsk,0,RU,1615717483,99,67.45,153.6833,-20.63,1.83
Destin,90,US,1615717484,94,30.3935,-86.4958,60.8,3.22
Flinders,100,AU,1615717484,75,-34.5833,150.8552,62.01,5.01
Kralendijk,97,BQ,1615717484,83,12.15,-68.2667,77.0,8.05
Qaanaaq,100,GL,1615717484,66,77.484,-69.3632,-3.64,5.68
São Miguel do Araguaia,100,BR,1615717485,93,-13.275,-50.1628,71.11,2.51
Changtu,93,CN,1615717485,47,42.7788,124.0955,49.57,10.42
Marneuli,75,GE,1615717485,60,41.4759,44.8089,39.2,5.75
Wuchang,6,CN,1615717485,76,44.9143,127.15,37.44,7.76
Clyde River,90,CA,1615717486,77,70.4692,-68.5914,-7.6,19.57
Malakal,51,SS,1615717486,16,9.5334,31.6605,109.13,3.91
Sol'tsy,100,RU,1615717486,97,58.1239,30.3238,35.62,10.04
Poum,85,NC,1615717486,73,-20.2333,164.0167,79.95,14.52
Cap Malheureux,97,MU,1615717487,82,-19.9842,57.6142,80.01,7.0
Aswān,0,EG,1615717487,9,24.0934,32.907,87.37,9.4
Thunder Bay,1,CA,1615717487,54,48.4001,-89.3168,26.6,5.75
Baruun-Urt,100,MN,1615717487,22,46.6806,113.2792,53.58,26.13
Shingū,40,JP,1615717392,58,33.7333,135.9833,51.8,9.22
Esperance,0,AU,1615717488,59,-33.8667,121.9,62.6,18.41
Boca do Acre,100,BR,1615717488,97,-8.7522,-67.3978,70.32,1.39
Sur,0,OM,1615717488,47,22.5667,59.5289,84.56,9.98
Ilulissat,90,GL,1615717490,56,69.2167,-51.1,10.4,13.8
Monywa,17,MM,1615717490,12,22.1167,95.1333,101.21,5.93
Punta Cardon,51,VE,1615717490,83,11.6581,-70.215,75.79,12.86
Nelson Bay,75,AU,1615717491,82,-32.7167,152.15,66.2,14.97
Verkhoyansk,91,RU,1615717202,98,67.5447,133.385,-8.39,2.84
Alekseyevsk,100,RU,1615717492,85,57.8406,108.3492,12.0,9.13
Pisco,75,PE,1615717492,88,-13.7,-76.2167,69.8,1.14
Athabasca,66,CA,1615717492,60,54.7169,-113.2854,39.2,6.91
Kipini,20,KE,1615717492,55,-2.5257,40.5262,87.8,11.5
La Ligua,75,CL,1615717493,88,-32.4524,-71.2311,59.0,4.61
Ust-Tsilma,100,RU,1615717493,92,65.441,52.1498,25.66,9.62
Aklavik,29,CA,1615717493,84,68.2191,-135.0107,-14.8,6.91
Faanui,6,PF,1615717493,75,-16.4833,-151.75,82.56,11.83
Antofagasta,0,CL,1615717494,88,-23.65,-70.4,64.4,2.3
Lanxi,49,CN,1615717494,76,29.2195,119.477,64.49,3.18
Quatre Cocos,75,MU,1615717495,89,-20.2078,57.7625,80.6,6.91
East London,20,ZA,1615717201,73,-33.0153,27.9116,78.8,18.41
Lagoa,100,PT,1615717495,84,39.05,-27.9833,61.14,30.94
Ahipara,1,NZ,1615717495,87,-35.1667,173.1667,60.84,0.51
Oskemen,90,KZ,1615717496,71,49.9565,82.6119,1.4,3.13
Laas,90,IT,1615717497,69,46.6166,10.7002,48.2,9.22
Longyearbyen,75,SJ,1615717497,55,78.2186,15.6401,3.2,17.27
Saint-Joseph,90,RE,1615717497,70,-21.3667,55.6167,84.2,23.02
Denpasar,40,ID,1615717281,70,-8.65,115.2167,86.0,8.05
Mossamedes,40,AO,1615717497,69,-15.1961,12.1522,78.8,11.5
Nadterechnoye,0,RU,1615717498,80,43.6227,45.3397,33.8,6.71
Caravelas,13,BR,1615717498,86,-17.7125,-39.2481,75.38,2.1
Coxim,69,BR,1615717499,86,-18.5067,-54.76,71.58,3.67
Kampong Chhnang,8,KH,1615717499,23,12.1667,104.55,96.93,5.17
Bengkulu,94,ID,1615717240,72,-3.8004,102.2655,83.64,6.76
Klaksvík,75,FO,1615717499,81,62.2266,-6.589,42.8,13.8
Owando,98,CG,1615717500,78,-0.4819,15.8999,81.14,5.3
Kirakira,100,SB,1615717500,86,-10.4544,161.9205,78.03,2.91
Morondava,0,MG,1615717500,64,-20.2833,44.2833,85.93,7.83
Edd,0,ER,1615717500,38,13.9297,41.6925,92.41,17.31
Coquimbo,90,CL,1615717501,82,-29.9533,-71.3436,60.8,2.3
Tromsø,75,NO,1615717501,87,69.6496,18.957,36.0,8.05
Kiunga,100,PG,1615717501,98,-6.1219,141.2906,73.9,3.33
Bam,64,IR,1615717502,24,29.106,58.357,63.52,9.22
Gurupá,97,BR,1615717502,98,-1.405,-51.64,72.19,2.06
Acaraú,54,BR,1615717502,86,-2.8856,-40.12,77.36,7.09
Pascagoula,90,US,1615717502,100,30.3658,-88.5561,66.2,7.45
El Salvador,20,SV,1615717503,88,13.8333,-88.9167,73.4,3.44
Kenai,1,US,1615717503,84,60.5544,-151.2583,7.0,3.53
Vila Franca do Campo,40,PT,1615717503,94,37.7167,-25.4333,60.8,16.11
Shetpe,26,KZ,1615717503,37,44.1667,52.1167,33.93,9.95
Manihāri,47,IN,1615717503,21,25.35,87.6333,91.65,7.16
Demyansk,100,RU,1615717504,96,57.643,32.466,35.74,12.66
Rio Grande,50,BR,1615717505,76,-32.035,-52.0986,67.87,9.04
Ocampo,0,MX,1615717505,49,21.65,-101.5,46.98,1.01
Natal,20,BR,1615717505,74,-5.795,-35.2094,80.6,4.61
Prymors'k,83,UA,1615717505,69,46.7348,36.3443,41.86,11.74
Juneau,90,US,1615717505,54,58.3019,-134.4197,23.0,6.78
Olafsvik,100,IS,1615717506,79,64.8945,-23.7142,33.44,16.06
Louny,6,CZ,1615717506,58,50.357,13.7967,45.0,32.99
Geraldton,40,AU,1615717506,45,-28.7667,114.6,84.2,16.11
Yerbogachën,100,RU,1615717506,78,61.2767,108.0108,5.5,13.51
Jijiga,69,ET,1615717507,15,9.35,42.8,83.57,4.18
Constitución,1,CL,1615717507,91,-35.3333,-72.4167,54.27,3.0
Ponta do Sol,40,PT,1615717507,72,32.6667,-17.1,62.01,13.8
Bol'shoye Selo,100,RU,1615717507,98,57.7177,38.9334,32.77,9.44
Bodden Town,0,KY,1615717508,1,19.2833,-81.25,77.0,18.01
Dubbo,40,AU,1615717508,67,-32.25,148.6167,62.6,6.91
Bom Jesus,6,BR,1615717508,89,-9.0744,-44.3586,71.83,1.92
Saldanha,79,ZA,1615717508,60,-33.0117,17.9442,71.6,11.5
Petropavlovsk-Kamchatskiy,2,RU,1615717509,50,53.0452,158.6483,24.8,11.18
Cobija,93,BO,1615717509,99,-11.0267,-68.7692,69.33,2.04
Abu Kamal,0,SY,1615717509,20,34.4506,40.9171,66.61,3.2
Isugod,99,PH,1615717509,82,9.3408,118.1196,79.81,4.27
Anchorage,1,US,1615717510,71,61.2181,-149.9003,8.01,2.66
Gaogou,0,CN,1615717510,73,34.0175,119.1886,57.51,7.43
Muisne,91,EC,1615717510,91,0.6,-80.0333,74.61,3.91
Mana,100,GF,1615717510,95,5.6592,-53.7767,74.7,8.81
Lüderitz,54,NA,1615717511,61,-26.6481,15.1594,73.58,16.62
Muhos,90,FI,1615717511,75,64.808,25.9931,35.6,3.44
Nanortalik,100,GL,1615717511,76,60.1432,-45.2371,30.2,8.52
Bac Lieu,8,VN,1615717296,66,9.285,105.7244,81.82,18.75
Kismayo,26,SO,1615717512,59,-0.3582,42.5454,84.74,10.25
Safi,100,MA,1615717512,64,32.2994,-9.2372,61.86,15.46
Arrondissement de Bourg-en-Bresse,99,FR,1615717513,81,46.1667,5.1667,44.01,3.0
Sørland,75,NO,1615717513,93,67.667,12.6934,41.0,9.22
Koungou,75,YT,1615717513,83,-12.7336,45.2042,78.8,10.36
Ostrovnoy,100,RU,1615717514,90,68.0531,39.5131,21.49,13.71
Corn Island,17,NI,1615717514,77,12.1694,-83.0418,78.82,17.78
Vestmannaeyjar,0,IS,1615717514,80,63.4427,-20.2734,32.0,2.3
Hobyo,63,SO,1615717514,65,5.3505,48.5268,84.79,16.51
Liverpool,75,GB,1615717514,87,53.4106,-2.9779,46.4,23.02
Byron Bay,42,AU,1615717369,83,-28.65,153.6167,77.0,12.66
Pevek,100,RU,1615717515,96,69.7008,170.3133,-4.32,6.17
Verkhnevilyuysk,100,RU,1615717515,91,63.4453,120.3167,13.23,7.29
Craig,90,US,1615717515,93,40.5153,-107.5464,30.2,3.44
Lebanon,90,US,1615717478,82,36.2081,-86.2911,52.0,5.64
Robertson,90,US,1615717516,62,36.5167,-86.8667,51.01,7.54
Namwala,42,ZM,1615717516,71,-15.7504,26.4384,76.46,7.99
Quang Ngai,11,VN,1615717296,77,15.1167,108.8,77.68,6.06
Mitzic,64,GA,1615717516,60,0.7821,11.549,83.8,4.56
Pemangkat,100,ID,1615717517,82,1.1667,108.9667,80.85,8.93
Greenville,1,US,1615717517,81,35.6127,-77.3663,46.4,5.06
Saint-Pierre,90,RE,1615717517,70,-21.3393,55.4781,84.2,23.02
Grand Forks,1,US,1615717517,86,47.9417,-97.4337,19.4,5.75
Karratha,100,AU,1615717518,62,-20.7377,116.8463,86.54,15.77
Fort Nelson,90,CA,1615717518,77,58.8053,-122.7002,-4.0,11.5
Gaoual,63,GN,1615717518,37,11.75,-13.2,90.03,1.36
Mar del Plata,0,AR,1615717518,82,-38.0023,-57.5575,64.99,5.75
Beloha,0,MG,1615717518,41,-25.1667,45.05,89.64,15.23
Tilichiki,84,RU,1615717519,87,60.4667,166.1,-2.52,9.4
Tautira,0,PF,1615717519,78,-17.7333,-149.15,80.01,3.44
Hamilton,1,US,1615717519,93,39.1834,-84.5333,37.0,1.19
Santiago del Estero,100,AR,1615717519,65,-27.7951,-64.2615,69.58,6.29
Lixouri,40,GR,1615717520,63,38.2019,20.4314,62.6,6.91
Bay Roberts,90,CA,1615717520,93,47.5999,-53.2648,26.6,19.57
Bethel,90,US,1615717521,33,41.3712,-73.414,39.2,8.05
Alta Floresta,100,BR,1615717521,97,-9.8756,-56.0861,69.64,0.56
Thompson,20,CA,1615717521,71,55.7435,-97.8558,-7.6,3.44
Burnie,54,AU,1615717522,77,-41.0667,145.9167,51.01,1.99
Waipawa,20,NZ,1615717522,77,-41.4122,175.5153,62.01,21.85
Kholm-Zhirkovskiy,100,RU,1615717522,99,55.5189,33.4731,35.71,12.33
Vysokogornyy,2,RU,1615717522,88,50.1167,139.15,27.68,3.96
Lakes Entrance,3,AU,1615717523,76,-37.8811,147.981,54.0,2.77
Bathsheba,40,BB,1615717523,73,13.2167,-59.5167,77.0,12.66
San Patricio,90,US,1615717523,94,28.017,-97.5169,73.4,25.32
Bubaque,80,GW,1615717523,57,11.2833,-15.8333,78.01,6.22
Ambon City,75,ID,1615717524,94,-3.6954,128.1814,75.2,6.91
Westport,90,US,1615717524,60,41.1415,-73.3579,39.99,3.44
Bekhtery,75,UA,1615717524,66,46.251,32.2927,48.2,13.42
Amahai,76,ID,1615717524,86,-3.3333,128.9167,81.0,3.0
Fairlie,75,GB,1615717525,81,55.756,-4.8556,45.0,16.11
Presidencia Roque Sáenz Peña,50,AR,1615717525,68,-26.7852,-60.4388,69.01,1.01
Gondanglegi,96,ID,1615717525,86,-7.7479,112.0132,81.48,1.5
Hendek,0,TR,1615717525,39,40.7994,30.7481,64.4,4.61
Port Blair,3,IN,1615717526,56,11.6667,92.75,87.53,7.27
Qasigiannguit,90,GL,1615717526,56,68.8193,-51.1922,10.4,13.8
Ixtapa,0,MX,1615717526,85,20.7,-105.2,66.0,1.88
Voh,100,NC,1615717527,83,-20.9667,164.7,74.43,5.44
Anori,100,BR,1615717528,98,-3.7728,-61.6442,70.84,3.22
Belmonte,75,BR,1615717528,88,-15.8631,-38.8828,71.6,5.75
Yakovlevo,75,RU,1615717528,93,50.8603,36.4478,37.4,11.18
Tura,7,IN,1615717528,26,25.5198,90.2201,86.77,7.85
Bridlington,20,GB,1615717528,71,54.0831,-0.1919,48.0,17.27
Nouadhibou,0,MR,1615717331,46,20.931,-17.0347,69.8,12.66
Gweta,15,BW,1615717529,38,-20.1833,25.2333,83.14,8.57
Arrifes,40,PT,1615717529,94,37.7667,-25.7,60.8,16.11
Haines Junction,58,CA,1615717529,70,60.7522,-137.5108,-9.4,1.14
Hokitika,34,NZ,1615717530,86,-42.7167,170.9667,56.16,3.6
Vanimo,73,PG,1615717531,87,-2.6741,141.3028,79.47,7.72
Orlik,49,RU,1615717531,69,52.5178,99.825,1.02,5.48
Teguise,40,ES,1615717531,73,29.0605,-13.564,68.0,12.66
Valle de Allende,94,MX,1615717531,19,26.9333,-105.4,38.93,2.62
Artvin Province,0,TR,1615717532,50,41.1667,41.8333,55.4,9.22
Husavik,90,IS,1615717532,86,66.0449,-17.3389,23.0,6.91
Camapuã,43,BR,1615717532,87,-19.5314,-54.0439,69.53,2.66
Hofn,100,IS,1615717533,95,64.2539,-15.2082,32.41,8.48
Sydney,75,AU,1615717301,82,-33.8679,151.2073,62.6,19.57
Atasū,100,KZ,1615717533,82,48.6814,71.6433,15.35,11.3
Ponta Delgada,40,PT,1615717533,94,37.7333,-25.6667,60.8,16.11
Tegul'det,100,RU,1615717533,89,57.3064,88.1667,11.39,8.97
Meulaboh,77,ID,1615717534,72,4.1363,96.1285,83.25,5.06
Estelle,1,US,1615717534,100,29.8458,-90.1067,68.0,5.75
Cravo Norte,83,CO,1615717534,69,6.3017,-70.2041,77.9,5.7
Porto Belo,40,BR,1615717534,89,-27.1578,-48.5531,78.8,8.05
Bassar,75,TG,1615717535,69,9.25,0.7833,87.8,4.52
Kununurra,87,AU,1615717535,84,-15.7667,128.7333,84.2,8.05
São José da Coroa Grande,95,BR,1615717535,69,-8.8978,-35.1478,79.25,8.59
Gurupi,100,BR,1615717535,95,-11.7292,-49.0686,71.69,2.1
Half Moon Bay,90,US,1615717535,71,37.4636,-122.4286,48.99,5.75
Calvinia,54,ZA,1615717536,29,-31.4707,19.776,84.61,15.1
Lavrentiya,100,RU,1615717536,95,65.5833,-171.0,12.52,11.92
Foam Lake,0,CA,1615717537,69,51.65,-103.5343,32.0,14.97
Vao,56,NC,1615717537,77,-22.6667,167.4833,77.2,20.2
Cayenne,75,GF,1615717537,94,4.9333,-52.3333,75.99,1.14
Buchanan,75,LR,1615717537,94,5.8808,-10.0467,78.8,3.44
Pacific Grove,50,US,1615717538,76,36.6177,-121.9166,48.99,4.12
Pando,0,UY,1615717538,94,-34.7167,-55.95,53.6,3.44
Paita,91,PE,1615717538,76,-5.0892,-81.1144,75.29,9.82
Dwārka,0,IN,1615717538,37,22.2394,68.9678,87.6,10.45
Oistins,40,BB,1615717538,73,13.0667,-59.5333,77.0,12.66
Tianpeng,100,CN,1615717327,1,30.9866,103.9393,66.0,7.25
Hirtshals,75,DK,1615717539,93,57.5881,9.9592,44.01,8.05
